Institution ,  Course ,  Salary  (6  months  after) ,  Median  Tariff
10007849,Accounting  and  Finance,19000,170.0
10007849,Biomedical  Sciences,20000,156.0
10007849,Business  and  Human  Resource  Management,19000,154.0
10007849,Business  Management,19000,128
10007849,Computer  Arts,17000,176
10007849,Computer  Game  Applications  Development,17000,156.5
10007849,Computer  Games  Technology,17000,195.75
10007849,Computing,23000,154.0
10007849,Criminology,17000,144
10007849,Ethical  Hacking,23000,151.5
10007849,Fitness  Nutrition  and  Health,18000,155.25
10007849,Food  and  Consumer  Sciences,18000,155.25
10007849,Food  Nutrition  and  Health,18000,151.5
10007849,Forensic  Sciences,17000,144
10007849,Game  Design  and  Production  Management,17000,144
10007849,Management  and  the  Games  Industry,19000,154.0
10007849,Marketing  and  Business,19000,166.0
10007849,Nursing  (Mental  Health  Nursing),22000,107.25
10007849,Psychology,17000,179.0
10007849,Psychology  and  Counselling,17000,167.5
10007849,Psychology  and  Forensic  Biology,17000,162.14285714285714
10007849,Psychology  and  Human  Resource  Management,17000,172.0
10007849,Social  Science,17000,149.0
10007849,Sociology,17000,149.0
10007849,Sound  and  Music  for  Games,17000,160
10007849,Sport  and  Exercise,18000,144
10007849,Sport  and  Management,18000,112
10007849,Sport  and  Psychology,18000,137.0
10000163,Chiropractic,24000,131.46153846153845
10000291,Abnormal  and  Clinical  Psychology,18000,108.0
10000291,Accounting  and  Finance,21000,71.5
10000291,Accounting  and  Finance,21000,73.0
10000291,Accounting  and  Finance,29000,0
10000291,Accounting  and  Finance,21000,64
10000291,Animal  Behaviour,18000,67.75
10000291,Animal  Behaviour,18000,112
10000291,Animal  Behaviour,16000,88.33333333333333
10000291,Applied  Computer  Science,24000,94.21052631578948
10000291,Applied  Nutritional  Science,22000,101.625
10000291,Applied  Nutritional  Science,22000,101.625
10000291,Archaeology  and  Landscape  History,18000,87.5
10000291,Architectural  Technology,19000,92.0
10000291,Architectural  Technology,19000,80
10000291,Architectural  Technology,35000,0
10000291,Architecture,19000,100.0909090909091
10000291,Architecture,19000,80
